wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.8244953155517578,0.9,10
n01443537,0.8007804751396179,1.0,10
n01484850,0.6178728938102722,0.9,10
n01491361,0.61359703540802,0.7,10
n01494475,0.6033220291137695,0.1,10
n01496331,0.6216648817062378,0.7,10
n01498041,0.6676180958747864,0.3,10
n01514668,0.6162123680114746,0.6,10
n01514859,0.6484278440475464,1.0,10
n01518878,0.5987133979797363,0.5,10
n01530575,0.7454286813735962,0.9,10
n01531178,0.582762598991394,0.6,10
n01532829,0.758630633354187,0.8,10
n01534433,0.6999237537384033,0.5,10
n01537544,0.45062369108200073,0.3,10
n01558993,0.6889179348945618,0.7,10
n01560419,0.6729918718338013,0.6,10
n01580077,0.5834034085273743,0.3,10
n01582220,0.5722225904464722,0.3,10
n01592084,0.7565452456474304,0.8,10
n01601694,0.6171210408210754,0.5,10
n01608432,0.6551462411880493,0.4,10
n01614925,0.6771175265312195,0.7,10
n01616318,0.696319043636322,0.7,10
n01622779,0.7184038758277893,0.7,10
n01629819,0.5208741426467896,0.3,10
n01630670,0.7314015626907349,0.8,10
n01631663,0.6863733530044556,0.7,10
n01632458,0.7122101187705994,0.6,10
n01632777,0.797956109046936,0.8,10
n01641577,0.7387065291404724,0.9,10
n01644373,0.658731997013092,0.7,10
n01644900,0.7502509355545044,0.9,10
n01664065,0.7800986170768738,0.9,10
n01665541,0.7301253080368042,0.8,10
n01667114,0.7437419891357422,0.7,10
n01667778,0.7689533233642578,0.9,10
n01669191,0.7756085991859436,1.0,10
n01675722,0.8257797956466675,1.0,10
n01677366,0.660237193107605,0.5,10
n01682714,0.6970251798629761,0.7,10
n01685808,0.7553831338882446,0.8,10
n01687978,0.6884995698928833,0.9,10
n01688243,0.7910488247871399,0.9,10
n01689811,0.8279317617416382,1.0,10
n01692333,0.8590533137321472,1.0,10
n01693334,0.7210936546325684,0.7,10
n01694178,0.7738132476806641,0.9,10
n01695060,0.849047064781189,1.0,10
n01697457,0.7626495361328125,0.9,10
n01698640,0.7647552490234375,0.9,10
n01704323,0.7215539216995239,0.6,10
n01728572,0.8306753039360046,1.0,10
n01728920,0.7525129914283752,0.8,10
n01729322,0.8665925860404968,1.0,10
n01729977,0.7998765110969543,1.0,10
n01734418,0.7605265974998474,0.7,10
n01735189,0.7506731748580933,0.8,10
n01737021,0.7895436882972717,0.8,10
n01739381,0.6188963651657104,0.7,10
n01740131,0.7305586934089661,0.9,10
n01742172,0.7424905896186829,0.8,10
n01744401,0.8326300382614136,1.0,10
n01748264,0.7844645380973816,1.0,10
n01749939,0.7695257067680359,0.9,10
n01751748,0.6566579341888428,0.6,10
n01753488,0.8057721853256226,0.9,10
n01755581,0.7601845264434814,1.0,10
n01756291,0.7589681148529053,0.6,10
n01768244,0.7446627020835876,0.8,10
n01770081,0.6519374847412109,0.6,10
n01770393,0.7451210021972656,0.6,10
n01773157,0.4688261151313782,0.3,10
n01773549,0.6240937113761902,0.7,10
n01773797,0.651880145072937,1.0,10
n01774384,0.4915030598640442,0.4,10
n01774750,0.5752419233322144,0.3,10
n01775062,0.5131305456161499,0.4,10
n01776313,0.4951659142971039,0.3,10
n01784675,0.6724641919136047,0.7,10
n01795545,0.6582365036010742,0.8,10
n01796340,0.651232123374939,0.6,10
n01797886,0.7268446683883667,0.9,10
n01798484,0.8011253476142883,0.8,10
n01806143,0.615358829498291,0.5,10
n01806567,0.5678442716598511,0.5,10
n01807496,0.7873085737228394,0.8,10
n01817953,0.8496740460395813,1.0,10
n01818515,0.612203061580658,0.4,10
n01819313,0.6136716604232788,0.6,10
n01820546,0.6094018220901489,0.4,10
n01824575,0.6849255561828613,0.8,10
n01828970,0.547427773475647,0.6,10
n01829413,0.6282184720039368,0.4,10
n01833805,0.5717195272445679,0.5,10
n01843065,0.742343008518219,0.6,10
n01843383,0.4596415162086487,0.3,10
n01847000,0.7083056569099426,0.9,10
n01855032,0.5980260372161865,0.2,10
n01855672,0.6604002714157104,0.4,10
n01860187,0.5345360636711121,0.3,10
n01871265,0.6159533858299255,0.7,10
n01872401,0.6998580694198608,0.5,10
n01873310,0.8328617215156555,0.9,10
n01877812,0.801477313041687,0.7,10
n01882714,0.9032479524612427,1.0,10
n01883070,0.8241111636161804,1.0,10
n01910747,0.6053314805030823,0.2,10
n01914609,0.6399062871932983,0.6,10
n01917289,0.6574013829231262,0.6,10
n01924916,0.7168572545051575,0.7,10
n01930112,0.6597546935081482,0.4,10
n01943899,0.7311850786209106,1.0,10
n01944390,0.8023841977119446,1.0,10
n01945685,0.8341704607009888,1.0,10
n01950731,0.7099078893661499,1.0,10
n01955084,0.7519403696060181,0.8,10
n01968897,0.6376248002052307,0.5,10
n01978287,0.7400458455085754,0.8,10
n01978455,0.7789495587348938,0.8,10
n01980166,0.7861735224723816,0.9,10
n01981276,0.7829434871673584,1.0,10
n01983481,0.7197884321212769,0.9,10
n01984695,0.7079786062240601,0.8,10
n01985128,0.7714958786964417,0.7,10
n01986214,0.7542179226875305,0.9,10
n01990800,0.6596042513847351,0.7,10
n02002556,0.5461679697036743,0.3,10
n02002724,0.6416377425193787,0.5,10
n02006656,0.5382977724075317,0.3,10
n02007558,0.7484351992607117,0.9,10
n02009229,0.6540077924728394,0.6,10
n02009912,0.461944043636322,0.2,10
n02011460,0.6521546840667725,0.3,10
n02012849,0.6735536456108093,0.9,10
n02013706,0.5356670618057251,0.3,10
n02017213,0.6174314618110657,0.6,10
n02018207,0.5386059880256653,0.3,10
