model,wnid,margin_clean,pred_entropy_clean,n_confusable
vit_b_32,n02641379,0.5287491999999999,0.87795028377006,12
vit_b_32,n02643566,0.8122288000000001,0.17101975804749478,3
vit_b_32,n02655020,0.6968631999999999,0.4055118518613415,7
vit_b_32,n02666196,0.7250758,0.4395050770590217,12
vit_b_32,n02667093,0.6715092000000001,0.6581730376658617,7
vit_b_32,n02669723,0.4071686,1.0444903164743355,9
vit_b_32,n02672831,0.6886876,0.543457243250329,9
vit_b_32,n02676566,0.5462528,0.9323714466903827,9
vit_b_32,n02687172,0.7407346,0.42185084304886183,5
vit_b_32,n02690373,0.7717883999999999,0.4207637386232084,2
vit_b_32,n02692877,0.7013988000000001,0.5393469227911791,11
vit_b_32,n02699494,0.47218260000000006,1.023934097802606,8
vit_b_32,n02701002,0.7482241999999999,0.3467662434789347,3
vit_b_32,n02704792,0.616275,0.6624124963652551,7
vit_b_32,n02708093,0.5300318,0.8709378892259853,7
vit_b_32,n02727426,0.6716217999999999,0.543824801373221,8
vit_b_32,n02730930,0.5727084,0.8280381933627774,12
vit_b_32,n02747177,0.5026381999999999,1.0562437607306878,17
vit_b_32,n02749479,0.2947012,1.2828437237579409,12
vit_b_32,n02769748,0.43091879999999994,1.1995142653876438,19
vit_b_32,n02776631,0.42288939999999997,1.192791889202862,25
vit_b_32,n02777292,0.6970014,0.5572350663755989,4
vit_b_32,n02782093,0.772835,0.33430328363926726,5
vit_b_32,n02783161,0.4537032,1.130908387141025,13
vit_b_32,n02786058,0.500777,1.0169726230849618,15
vit_b_32,n02787622,0.6960738,0.523391076645962,3
vit_b_32,n02788148,0.5868367999999999,0.8030752338152541,10
vit_b_32,n02790996,0.6958918000000002,0.47916627179959187,7
vit_b_32,n02791124,0.49870799999999993,0.8127930178730415,8
vit_b_32,n02791270,0.4032686,1.2414574400381664,13
vit_b_32,n02793495,0.7852238000000001,0.3178546089842859,3
vit_b_32,n02794156,0.6988614000000001,0.44270407772531734,8
vit_b_32,n02795169,0.5332746,0.8598210850179352,10
vit_b_32,n02797295,0.5845672,0.7828714081100304,14
vit_b_32,n02799071,0.6684121999999999,0.5106453048749984,9
vit_b_32,n02802426,0.777982,0.28842224182010634,5
vit_b_32,n02804414,0.5696017999999999,0.8254360476532279,12
vit_b_32,n02804610,0.5816038,0.7651519300600129,8
vit_b_32,n02807133,0.6141066,0.7495504097154536,10
vit_b_32,n02808304,0.5489374,0.9454671219549731,19
vit_b_32,n02808440,0.23322379999999998,1.3875196652174788,14
vit_b_32,n02814533,0.5484176,0.9641391302171931,12
vit_b_32,n02814860,0.6100363999999999,0.7269898168849622,9
vit_b_32,n02815834,0.440859,1.138562906405482,20
vit_b_32,n02817516,0.7490932000000001,0.36971464466326587,5
vit_b_32,n02823428,0.5689174,0.8828522202950593,7
vit_b_32,n02823750,0.6048556,0.7799407079661843,7
vit_b_32,n02825657,0.5650092,0.8074619063262779,7
vit_b_32,n02834397,0.5556582,0.7967734452108575,14
vit_b_32,n02835271,0.664432,0.6012752005562169,5
vit_b_32,n02837789,0.45715979999999995,1.2416815992603143,14
vit_b_32,n02840245,0.4344682,1.1936072646303195,16
vit_b_32,n02841315,0.5997672000000001,0.8356154931571086,17
vit_b_32,n02843684,0.6788348,0.5582270347753102,7
vit_b_32,n02859443,0.6350124,0.6781326124771729,6
vit_b_32,n02860847,0.7652422,0.34602608299217436,5
vit_b_32,n02865351,0.7090679999999999,0.4902475658753289,8
vit_b_32,n02869837,0.5114478,0.9922222172241391,19
vit_b_32,n02870880,0.5558116,0.8785974591886334,12
vit_b_32,n02871525,0.4461778,1.1641684977899756,17
vit_b_32,n02877765,0.5979580000000001,0.6659380763274426,16
vit_b_32,n02879718,0.6213219999999999,0.7620285700439053,14
vit_b_32,n02883205,0.6575389999999999,0.6792123309314229,12
vit_b_32,n02892201,0.7728905999999999,0.30959399282580846,4
vit_b_32,n02892767,0.5037760000000001,0.9648922746654249,17
vit_b_32,n02894605,0.5120330000000001,0.9554916398335079,15
vit_b_32,n02895154,0.37092179999999997,1.060667484303181,9
vit_b_32,n02906734,0.556114,0.8366374927843739,15
vit_b_32,n02909870,0.6055902,0.7916964042713448,17
vit_b_32,n02910353,0.42689459999999996,1.2374505186176554,22
vit_b_32,n02916936,0.4928438,1.0399993406673766,16
vit_b_32,n02917067,0.8158504000000001,0.21220780584793764,3
vit_b_32,n02927161,0.6016016000000001,0.7132440148362332,10
vit_b_32,n02930766,0.5927642,0.7698633107277908,10
vit_b_32,n02939185,0.483791,1.12091113541757,16
