wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.7003880739212036,0.6,10
n01443537,0.7990638613700867,0.7,10
n01484850,0.6900909543037415,0.7,10
n01491361,0.5873677134513855,0.3,10
n01494475,0.7403779029846191,0.6,10
n01496331,0.6575176119804382,0.5,10
n01498041,0.7201746106147766,0.5,10
n01514668,0.47165948152542114,0.4,10
n01514859,0.6300462484359741,0.7,10
n01518878,0.6268278956413269,0.5,10
n01530575,0.7185414433479309,0.7,10
n01531178,0.5494018793106079,0.3,10
n01532829,0.6772709488868713,0.5,10
n01534433,0.6438533067703247,0.3,10
n01537544,0.3899609446525574,0.0,10
n01558993,0.5008972883224487,0.2,10
n01560419,0.7030377388000488,0.7,10
n01580077,0.4732235074043274,0.2,10
n01582220,0.5625978708267212,0.5,10
n01592084,0.6952231526374817,0.6,10
n01601694,0.705510675907135,0.7,10
n01608432,0.6142513155937195,0.4,10
n01614925,0.5646357536315918,0.3,10
n01616318,0.7806621193885803,0.8,10
n01622779,0.6927621960639954,0.6,10
n01629819,0.3563912808895111,0.0,10
n01630670,0.7623111009597778,0.6,10
n01631663,0.536564826965332,0.3,10
n01632458,0.7510733008384705,0.6,10
n01632777,0.6725056767463684,0.5,10
n01641577,0.6042646169662476,0.4,10
n01644373,0.6552261114120483,0.4,10
n01644900,0.8165102005004883,0.8,10
n01664065,0.8103381395339966,0.8,10
n01665541,0.7906979322433472,0.7,10
n01667114,0.7954234480857849,0.9,10
n01667778,0.8702408671379089,0.9,10
n01669191,0.7176026701927185,0.4,10
n01675722,0.8103171586990356,0.8,10
n01677366,0.6525636911392212,0.4,10
n01682714,0.6849077939987183,0.7,10
n01685808,0.6248570084571838,0.4,10
n01687978,0.6240605711936951,0.4,10
n01688243,0.8270906209945679,0.8,10
n01689811,0.8815585374832153,0.9,10
n01692333,0.7049031853675842,0.2,10
n01693334,0.7292237281799316,0.6,10
n01694178,0.8588941693305969,0.8,10
n01695060,0.760120153427124,0.7,10
n01697457,0.7585258483886719,0.8,10
n01698640,0.8083698153495789,0.9,10
n01704323,0.8006460070610046,0.6,10
n01728572,0.8505758047103882,0.9,10
n01728920,0.8439176678657532,0.8,10
n01729322,0.8441437482833862,1.0,10
n01729977,0.7251651883125305,0.9,10
n01734418,0.6742802262306213,0.2,10
n01735189,0.643191933631897,0.6,10
n01737021,0.7769643664360046,0.9,10
n01739381,0.4786108434200287,0.3,10
n01740131,0.7684770226478577,0.7,10
n01742172,0.7611420750617981,0.9,10
n01744401,0.8203660249710083,0.8,10
n01748264,0.7731803059577942,0.8,10
n01749939,0.766432523727417,1.0,10
n01751748,0.6824923753738403,0.6,10
n01753488,0.7914767265319824,0.8,10
n01755581,0.8030999898910522,0.7,10
n01756291,0.7268287539482117,0.7,10
n01768244,0.8363649249076843,0.8,10
n01770081,0.7665157914161682,0.8,10
n01770393,0.6632104516029358,0.4,10
n01773157,0.3767355978488922,0.0,10
n01773549,0.6635538339614868,0.4,10
n01773797,0.6499837040901184,1.0,10
n01774384,0.58846116065979,0.7,10
n01774750,0.6386510133743286,0.3,10
n01775062,0.6061092615127563,0.4,10
n01776313,0.496347039937973,0.3,10
n01784675,0.7740909457206726,0.9,10
n01795545,0.70295649766922,0.6,10
n01796340,0.6930240392684937,0.3,10
n01797886,0.6203208565711975,0.5,10
n01798484,0.7654289603233337,0.6,10
n01806143,0.6473376154899597,0.6,10
