model,method,severity,feature_delta,metric,rho,n
resnet101,cam,1,abs_delta_hf_energy,centroid_shift,-0.003162055335968379,45
resnet101,cam,1,abs_delta_edge_strength,centroid_shift,0.07114624505928853,45
resnet101,cam,1,abs_delta_entropy,centroid_shift,-0.11040843214756257,45
resnet101,cam,1,abs_delta_saturation,centroid_shift,0.059815546772068504,45
resnet101,cam,1,abs_delta_colorfulness,centroid_shift,-0.09499341238471673,45
resnet101,cam,2,abs_delta_brightness,centroid_shift,-0.14953886693017127,45
resnet101,cam,2,abs_delta_contrast,centroid_shift,-0.4328063241106719,45
resnet101,cam,2,abs_delta_hf_energy,centroid_shift,0.006324110671936758,45
resnet101,cam,2,abs_delta_edge_strength,centroid_shift,0.17760210803689064,45
resnet101,cam,2,abs_delta_entropy,centroid_shift,-0.3795783926218709,45
resnet101,cam,2,abs_delta_saturation,centroid_shift,0.0600790513833992,45
resnet101,cam,2,abs_delta_colorfulness,centroid_shift,-0.045849802371541494,45
resnet101,cam,3,abs_delta_brightness,centroid_shift,-0.06693017127799736,45
resnet101,cam,3,abs_delta_contrast,centroid_shift,-0.3326745718050066,45
resnet101,cam,3,abs_delta_hf_energy,centroid_shift,-0.05928853754940711,45
resnet101,cam,3,abs_delta_edge_strength,centroid_shift,-0.007246376811594202,45
resnet101,cam,3,abs_delta_entropy,centroid_shift,-0.4387351778656126,45
resnet101,cam,3,abs_delta_saturation,centroid_shift,-0.255862977602108,45
resnet101,cam,3,abs_delta_colorfulness,centroid_shift,-0.22529644268774704,45
resnet101,cam,4,abs_delta_brightness,centroid_shift,-0.08761528326745717,45
resnet101,cam,4,abs_delta_contrast,centroid_shift,-0.20869565217391303,45
resnet101,cam,4,abs_delta_hf_energy,centroid_shift,0.054018445322793145,45
resnet101,cam,4,abs_delta_edge_strength,centroid_shift,0.01818181818181818,45
resnet101,cam,4,abs_delta_entropy,centroid_shift,-0.3334650856389986,45
resnet101,cam,4,abs_delta_saturation,centroid_shift,0.0533596837944664,45
resnet101,cam,4,abs_delta_colorfulness,centroid_shift,-0.04914361001317522,45
resnet101,cam,5,abs_delta_brightness,centroid_shift,-0.13833992094861658,45
resnet101,cam,5,abs_delta_contrast,centroid_shift,-0.12595520421607376,45
resnet101,cam,5,abs_delta_hf_energy,centroid_shift,0.004347826086956521,45
resnet101,cam,5,abs_delta_edge_strength,centroid_shift,0.015810276679841896,45
resnet101,cam,5,abs_delta_entropy,centroid_shift,-0.35256916996047427,45
resnet101,cam,5,abs_delta_saturation,centroid_shift,-0.09130434782608696,45
resnet101,cam,5,abs_delta_colorfulness,centroid_shift,-0.19301712779973648,45
resnet101,ig,1,abs_delta_brightness,xai_iou,-0.16745718050065875,45
resnet101,ig,1,abs_delta_contrast,xai_iou,-0.008959156785243741,45
resnet101,ig,1,abs_delta_hf_energy,xai_iou,-0.07088274044795784,45
resnet101,ig,1,abs_delta_edge_strength,xai_iou,0.0541501976284585,45
resnet101,ig,1,abs_delta_entropy,xai_iou,0.001054018445322793,45
resnet101,ig,1,abs_delta_saturation,xai_iou,-0.22305665349143605,45
resnet101,ig,1,abs_delta_colorfulness,xai_iou,0.07312252964426876,45
resnet101,ig,2,abs_delta_brightness,xai_iou,-0.3851246749347093,45
resnet101,ig,2,abs_delta_contrast,xai_iou,0.11311308020234279,45
resnet101,ig,2,abs_delta_hf_energy,xai_iou,-0.021146941610338983,45
resnet101,ig,2,abs_delta_edge_strength,xai_iou,-0.061332718502260415,45
resnet101,ig,2,abs_delta_entropy,xai_iou,-0.05968576043291937,45
resnet101,ig,2,abs_delta_saturation,xai_iou,-0.3426990350684841,45
resnet101,ig,2,abs_delta_colorfulness,xai_iou,-0.08103033701157929,45
resnet101,ig,3,abs_delta_brightness,xai_iou,-0.5087782867808348,45
resnet101,ig,3,abs_delta_contrast,xai_iou,0.2646332225817187,45
resnet101,ig,3,abs_delta_hf_energy,xai_iou,-0.058434072300220186,45
resnet101,ig,3,abs_delta_edge_strength,xai_iou,-0.11067558225971803,45
resnet101,ig,3,abs_delta_entropy,xai_iou,-0.09091208542762554,45
resnet101,ig,3,abs_delta_saturation,xai_iou,-0.23011298144833045,45
resnet101,ig,3,abs_delta_colorfulness,xai_iou,-0.19684442844764136,45
resnet101,ig,4,abs_delta_brightness,xai_iou,-0.6121212121212121,45
resnet101,ig,4,abs_delta_contrast,xai_iou,0.060210803689064556,45
resnet101,ig,4,abs_delta_hf_energy,xai_iou,-0.14703557312252963,45
resnet101,ig,4,abs_delta_edge_strength,xai_iou,-0.0455862977602108,45
resnet101,ig,4,abs_delta_entropy,xai_iou,-0.06969696969696969,45
resnet101,ig,4,abs_delta_saturation,xai_iou,-0.35151515151515145,45
resnet101,ig,4,abs_delta_colorfulness,xai_iou,-0.2994729907773386,45
resnet101,ig,5,abs_delta_brightness,xai_iou,-0.6571805006587614,45
resnet101,ig,5,abs_delta_contrast,xai_iou,-0.021870882740447958,45
resnet101,ig,5,abs_delta_hf_energy,xai_iou,-0.21633728590250328,45
resnet101,ig,5,abs_delta_edge_strength,xai_iou,-0.16837944664031618,45
resnet101,ig,5,abs_delta_entropy,xai_iou,-0.2712779973649539,45
resnet101,ig,5,abs_delta_saturation,xai_iou,-0.42411067193675883,45
resnet101,ig,5,abs_delta_colorfulness,xai_iou,-0.40039525691699596,45
resnet101,ig,1,abs_delta_brightness,prob_drop,-0.07351778656126481,45
resnet101,ig,1,abs_delta_contrast,prob_drop,-0.04690382081686429,45
resnet101,ig,1,abs_delta_hf_energy,prob_drop,-0.15309617918313567,45
