wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.6748584508895874,0.4,10
n01443537,0.7755407691001892,0.7,10
n01484850,0.6876798868179321,0.7,10
n01491361,0.6429323554039001,0.3,10
n01494475,0.6986710429191589,0.5,10
n01496331,0.6248976588249207,0.6,10
n01498041,0.7940605282783508,0.7,10
n01514668,0.4841790795326233,0.4,10
n01514859,0.6211048364639282,0.5,10
n01518878,0.5810222625732422,0.3,10
n01530575,0.6639235019683838,0.4,10
n01531178,0.5605565905570984,0.3,10
n01532829,0.7051507830619812,0.7,10
n01534433,0.6351434588432312,0.3,10
n01537544,0.41449174284935,0.0,10
n01558993,0.4970661699771881,0.2,10
n01560419,0.773389458656311,0.8,10
n01580077,0.5645718574523926,0.4,10
n01582220,0.5865956544876099,0.4,10
n01592084,0.732039213180542,0.6,10
n01601694,0.695875883102417,0.6,10
n01608432,0.6648346185684204,0.5,10
n01614925,0.5315505266189575,0.4,10
n01616318,0.6527044773101807,0.6,10
n01622779,0.6884536743164062,0.5,10
n01629819,0.3748801648616791,0.0,10
n01630670,0.7740226984024048,0.7,10
n01631663,0.5198440551757812,0.3,10
n01632458,0.7526950836181641,0.7,10
n01632777,0.7201197147369385,0.6,10
n01641577,0.6401379704475403,0.4,10
n01644373,0.5983563661575317,0.4,10
n01644900,0.7876988649368286,0.8,10
n01664065,0.8859460949897766,0.9,10
n01665541,0.8256509900093079,0.7,10
n01667114,0.7908320426940918,0.8,10
n01667778,0.8753633499145508,1.0,10
n01669191,0.7323005199432373,0.7,10
n01675722,0.7902688980102539,0.8,10
n01677366,0.5682380199432373,0.5,10
n01682714,0.7154560089111328,0.8,10
n01685808,0.5747601985931396,0.3,10
n01687978,0.6201815009117126,0.5,10
n01688243,0.8209489583969116,0.7,10
n01689811,0.8540822863578796,0.8,10
n01692333,0.7371395826339722,0.4,10
n01693334,0.784438967704773,0.7,10
n01694178,0.8227277994155884,0.9,10
n01695060,0.7858079671859741,0.7,10
n01697457,0.7504060864448547,0.7,10
n01698640,0.844800591468811,0.9,10
n01704323,0.8164104223251343,0.7,10
n01728572,0.8335956335067749,1.0,10
n01728920,0.8158704042434692,0.7,10
n01729322,0.865057647228241,0.9,10
n01729977,0.7877306938171387,0.9,10
n01734418,0.6481350660324097,0.3,10
n01735189,0.6950159072875977,0.7,10
n01737021,0.8204442262649536,1.0,10
n01739381,0.521200954914093,0.2,10
n01740131,0.7885525822639465,0.7,10
n01742172,0.7135933637619019,0.8,10
n01744401,0.8362256288528442,0.7,10
n01748264,0.7795843482017517,0.7,10
n01749939,0.7578768730163574,0.8,10
n01751748,0.6038411259651184,0.4,10
n01753488,0.7673014402389526,0.6,10
n01755581,0.8255990147590637,0.9,10
n01756291,0.7365442514419556,0.7,10
n01768244,0.8279472589492798,0.7,10
n01770081,0.7380227446556091,0.6,10
n01770393,0.687069296836853,0.6,10
n01773157,0.35028332471847534,0.0,10
n01773549,0.6594702005386353,0.6,10
n01773797,0.6960532665252686,0.7,10
n01774384,0.5729725360870361,0.4,10
n01774750,0.5819752216339111,0.2,10
n01775062,0.5709266662597656,0.2,10
n01776313,0.44757723808288574,0.3,10
n01784675,0.7500807046890259,0.7,10
n01795545,0.7087566256523132,0.8,10
n01796340,0.746116042137146,0.6,10
n01797886,0.604785144329071,0.3,10
n01798484,0.7427812814712524,0.6,10
n01806143,0.6635650396347046,0.6,10
n01806567,0.5442276000976562,0.2,10
n01807496,0.758662760257721,0.8,10
n01817953,0.8506554365158081,0.8,10
n01818515,0.392599880695343,0.2,10
n01819313,0.699447512626648,0.6,10
n01820546,0.4617899954319,0.1,10
n01824575,0.6315172910690308,0.6,10
n01828970,0.4445217251777649,0.2,10
n01829413,0.662122368812561,0.4,10
n01833805,0.5469723343849182,0.4,10
n01843065,0.6094293594360352,0.2,10
n01843383,0.3528306484222412,0.2,10
n01847000,0.5568748116493225,0.4,10
n01855032,0.4633592665195465,0.1,10
n01855672,0.680738091468811,0.5,10
n01860187,0.4383176267147064,0.3,10
n01871265,0.5336387157440186,0.3,10
n01872401,0.7067383527755737,0.6,10
n01873310,0.8385160565376282,0.7,10
n01877812,0.8837901949882507,1.0,10
n01882714,0.8889971971511841,0.8,10
n01883070,0.8682332038879395,0.6,10
