wnid,mean_drift,spillover_rate,n_par,model
n01930112,0.2905096411705017,0.2,40,resnet50
n01943899,0.45386379957199097,0.475,40,resnet50
n01944390,0.4043397009372711,0.25,40,resnet50
n01945685,0.4668044149875641,0.5,40,resnet50
n01950731,0.4604460597038269,0.525,40,resnet50
n01955084,0.4376541078090668,0.3,40,resnet50
n01968897,0.37676188349723816,0.225,40,resnet50
n01978287,0.4046608507633209,0.425,40,resnet50
n01978455,0.46900519728660583,0.35,40,resnet50
n01980166,0.4138185381889343,0.375,40,resnet50
n01981276,0.3896915912628174,0.375,40,resnet50
n01983481,0.3895151615142822,0.35,40,resnet50
n01984695,0.4478374123573303,0.4,40,resnet50
n01985128,0.47684913873672485,0.4,40,resnet50
n01986214,0.45842108130455017,0.375,40,resnet50
n01990800,0.3637217581272125,0.25,40,resnet50
n02002556,0.3306494653224945,0.1,40,resnet50
n02002724,0.37497061491012573,0.2,40,resnet50
n02006656,0.2828598618507385,0.075,40,resnet50
n02007558,0.42571067810058594,0.225,40,resnet50
n02009229,0.3955964744091034,0.25,40,resnet50
n02009912,0.3112826943397522,0.125,40,resnet50
n02011460,0.35872554779052734,0.075,40,resnet50
n02012849,0.38411638140678406,0.425,40,resnet50
n02013706,0.2979351878166199,0.075,40,resnet50
n02017213,0.2515183091163635,0.075,40,resnet50
n02018207,0.3255470097064972,0.275,40,resnet50
n02018795,0.35634559392929077,0.2,40,resnet50
n02025239,0.3016739785671234,0.075,40,resnet50
n02027492,0.3721987307071686,0.3,40,resnet50
n02028035,0.31515729427337646,0.275,40,resnet50
n02033041,0.31043070554733276,0.1,40,resnet50
n02037110,0.274853378534317,0.25,40,resnet50
n02051845,0.39790207147598267,0.5,40,resnet50
n02056570,0.4293985962867737,0.425,40,resnet50
n02058221,0.38129371404647827,0.1,40,resnet50
n02066245,0.4592847228050232,0.4,40,resnet50
n02071294,0.3154890239238739,0.2,40,resnet50
n02074367,0.390167236328125,0.175,40,resnet50
n02077923,0.46036285161972046,0.5,40,resnet50
