model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_32,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.8837800621986389,0.5128765106201172,0.37090355157852173,1,1,0.8032521786003054,0.9667624803291753,4.2919512582837145,3.8272402634878833,4.051502935482162,0.22426267199427885,ViT
vit_b_32,cam,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.8837800621986389,0.5128765106201172,0.37090355157852173,1,1,0.4455723542116631,0.5580735019870817,33.12087207989334,3.4544033038513704,3.520823318694952,0.0664200148435814,ViT
vit_b_32,ig,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.8837800621986389,0.5128765106201172,0.37090355157852173,1,1,0.3626612355736592,0.5682859699136371,1.9589643890914543,2.315638217577297,2.1702520181549243,-0.14538619942237263,ViT
vit_b_32,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.8837800621986389,0.04610250145196915,0.8376775607466698,1,0,0.7180518702388086,0.9221813594516429,7.521022524986023,3.8272402634878833,4.485996358440158,0.6587560949522744,ViT
vit_b_32,cam,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.8837800621986389,0.04610250145196915,0.8376775607466698,1,0,0.13581853150808915,-0.04630458852450846,28.154172096107626,3.4544033038513704,3.3771373397007594,-0.07726596415061104,ViT
vit_b_32,ig,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.8837800621986389,0.04610250145196915,0.8376775607466698,1,0,0.28165506672626267,0.4290868828162374,15.852890053342565,2.315638217577297,2.659605836141188,0.3439676185638909,ViT
vit_b_32,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.8837800621986389,0.2785833477973938,0.6051967144012451,1,1,0.6097521854198412,0.9022969876058761,10.586351743483254,3.8272402634878833,4.297440254440284,0.4701999909524006,ViT
vit_b_32,cam,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.8837800621986389,0.2785833477973938,0.6051967144012451,1,1,0.1105641592920354,-0.07396378222309549,39.3802084379016,3.4544033038513704,3.0742057706184207,-0.3801975332329497,ViT
vit_b_32,ig,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.8837800621986389,0.2785833477973938,0.6051967144012451,1,1,0.20371814092953522,0.2548409672900242,20.94179914600841,2.315638217577297,2.436654113382193,0.12101589580489591,ViT
vit_b_32,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.8837800621986389,0.014718952588737011,0.8690611096099019,1,0,0.5201454104816722,0.8229794737488128,17.722192962373395,3.8272402634878833,4.379256563493742,0.5520163000058589,ViT
