grupa,klasa,corruption,severity,prob_spadek,iou_spadek
podatne,backpack,frost,2,0.357278160052374,0.3520525451559934
podatne,backpack,frost,3,0.3587895731907338,0.870582939455323
podatne,backpack,frost,4,0.3584124270128086,0.7796692607003891
podatne,backpack,frost,5,0.3583502763649449,0.8620024946139018
podatne,backpack,fog,1,0.34307437017560005,0.593215587328287
podatne,backpack,fog,2,0.3177800625562668,0.5655684985349818
podatne,backpack,fog,3,0.3548341169953346,0.6281183787847721
podatne,backpack,fog,4,0.3546738447621465,0.5523260007212405
podatne,backpack,fog,5,0.3593947434274014,0.8299621101719615
podatne,backpack,brightness,1,-0.021363794803619385,0.15294009386215146
podatne,backpack,brightness,2,0.044023334980010986,0.24238178633975482
podatne,backpack,brightness,3,0.21865636110305786,0.41114541280772576
podatne,backpack,brightness,4,0.24240736663341522,0.4242424242424242
podatne,backpack,brightness,5,0.2584591954946518,0.5818849795110923
podatne,backpack,contrast,1,-0.015473663806915283,0.20897653252431514
podatne,backpack,contrast,2,-0.037603557109832764,0.2636678200692042
podatne,backpack,contrast,3,0.06519940495491028,0.3094415901625537
podatne,backpack,contrast,4,0.16039618849754333,0.6732764888624496
podatne,backpack,contrast,5,0.29869259148836136,0.696115369624529
podatne,backpack,elastic_transform,1,0.3587089931825176,0.827570093457944
podatne,backpack,elastic_transform,2,0.35774637665599585,0.8518476146893947
podatne,backpack,elastic_transform,3,0.3589021359803155,0.8327518027448244
podatne,backpack,elastic_transform,4,0.35801676951814443,0.6726623462504959
podatne,backpack,elastic_transform,5,0.3579132359009236,0.4313848077524226
podatne,backpack,pixelate,1,0.33274194970726967,0.5641319121539452
podatne,backpack,pixelate,2,0.3049558661878109,0.9372453568971904
podatne,backpack,pixelate,3,0.3451668815687299,0.8706193395961073
podatne,backpack,pixelate,4,0.35535206040367484,0.855155109489051
podatne,backpack,pixelate,5,0.35259205056354403,0.8490825688073395
podatne,backpack,jpeg_compression,1,0.34696864429861307,0.7326682661952266
podatne,backpack,jpeg_compression,2,0.3537127459421754,0.8557747121194846
podatne,backpack,jpeg_compression,3,0.3510421458631754,0.8522415370539799
podatne,backpack,jpeg_compression,4,0.3574934168718755,0.918476211002748
podatne,backpack,jpeg_compression,5,0.35798595868982375,0.7935324878283344
podatne,ice_cream,gaussian_noise,1,0.0679708868265152,0.7248586493869513
podatne,ice_cream,gaussian_noise,2,0.02713322639465332,0.8297673876289862
podatne,ice_cream,gaussian_noise,3,0.11549711227416992,0.8156015814008379
podatne,ice_cream,gaussian_noise,4,0.16644158586859703,0.8549923019900781
podatne,ice_cream,gaussian_noise,5,0.2045973902568221,0.8719159219917945
podatne,ice_cream,shot_noise,1,-0.023231253027915955,0.7813733228097869
podatne,ice_cream,shot_noise,2,-0.013381510972976685,0.8799732157803694
podatne,ice_cream,shot_noise,3,0.0059238821268081665,0.905859907331698
podatne,ice_cream,shot_noise,4,0.016998782753944397,0.8703599550056242
podatne,ice_cream,shot_noise,5,0.1979965753853321,0.7140752130181305
