wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.5162311792373657,0.2,10
n01443537,0.4411733150482178,0.0,10
n01484850,0.4367203116416931,0.5,10
n01491361,0.4150005877017975,0.6,10
n01494475,0.3684599995613098,0.1,10
n01496331,0.40886735916137695,0.3,10
n01498041,0.5431937575340271,0.6,10
n01514668,0.3712036609649658,0.2,10
n01514859,0.45944055914878845,0.4,10
n01518878,0.4681314527988434,0.2,10
n01530575,0.5176027417182922,0.6,10
n01531178,0.4095642566680908,0.3,10
n01532829,0.5854127407073975,0.6,10
n01534433,0.5151939392089844,0.4,10
n01537544,0.3375388979911804,0.2,10
n01558993,0.4970681071281433,0.4,10
n01560419,0.4561948776245117,0.3,10
n01580077,0.4294939935207367,0.3,10
n01582220,0.6445658206939697,0.8,10
n01592084,0.6124047636985779,0.5,10
n01601694,0.48509496450424194,0.4,10
n01608432,0.527390718460083,0.5,10
n01614925,0.6731263399124146,0.8,10
n01616318,0.6041985154151917,0.6,10
n01622779,0.6166404485702515,0.7,10
n01629819,0.3654994070529938,0.1,10
n01630670,0.3714790344238281,0.2,10
n01631663,0.3648592531681061,0.3,10
n01632458,0.5097988843917847,0.6,10
n01632777,0.3798457980155945,0.1,10
n01641577,0.6475313901901245,0.9,10
n01644373,0.41113439202308655,0.3,10
n01644900,0.5838544964790344,0.5,10
n01664065,0.5079431533813477,0.4,10
n01665541,0.5809284448623657,0.5,10
n01667114,0.5141383409500122,0.5,10
n01667778,0.5331530570983887,0.5,10
n01669191,0.4389820098876953,0.6,10
n01675722,0.5495672225952148,0.5,10
n01677366,0.5546623468399048,0.5,10
n01682714,0.45692238211631775,0.5,10
n01685808,0.4959098696708679,0.2,10
n01687978,0.447020947933197,0.7,10
n01688243,0.6773097515106201,0.8,10
n01689811,0.6004015803337097,0.6,10
n01692333,0.6232945322990417,0.5,10
n01693334,0.5771197080612183,0.5,10
n01694178,0.4118490219116211,0.2,10
n01695060,0.6012810468673706,0.7,10
n01697457,0.6631595492362976,0.7,10
n01698640,0.7559306025505066,1.0,10
n01704323,0.629886269569397,0.6,10
n01728572,0.4977668821811676,0.3,10
n01728920,0.4850296974182129,0.3,10
n01729322,0.6437753438949585,0.9,10
n01729977,0.5309615731239319,0.8,10
n01734418,0.5403033494949341,0.6,10
n01735189,0.4045284390449524,0.4,10
n01737021,0.6098452806472778,0.3,10
n01739381,0.3782022297382355,0.4,10
n01740131,0.5449239015579224,0.5,10
n01742172,0.5829774737358093,0.8,10
n01744401,0.6202586889266968,0.7,10
n01748264,0.5287399888038635,0.6,10
n01749939,0.5183104276657104,0.6,10
n01751748,0.5520199537277222,0.6,10
n01753488,0.448756605386734,0.0,10
n01755581,0.5924167037010193,0.7,10
n01756291,0.5124010443687439,0.8,10
n01768244,0.6893310546875,0.8,10
n01770081,0.6688246726989746,1.0,10
n01770393,0.6269157528877258,0.7,10
n01773157,0.3740214705467224,0.1,10
n01773549,0.4591873288154602,0.4,10
n01773797,0.5386717915534973,1.0,10
n01774384,0.44589710235595703,0.4,10
n01774750,0.49711060523986816,0.3,10
n01775062,0.42465147376060486,0.3,10
n01776313,0.3130877614021301,0.0,10
n01784675,0.4206538200378418,0.4,10
n01795545,0.46012791991233826,0.1,10
n01796340,0.5658637285232544,0.7,10
n01797886,0.5922141671180725,0.6,10
n01798484,0.5951740145683289,0.5,10
n01806143,0.5627179145812988,0.3,10
n01806567,0.6414438486099243,0.8,10
n01807496,0.5600588321685791,0.5,10
n01817953,0.6154340505599976,0.5,10
n01818515,0.5090733170509338,0.3,10
n01819313,0.5865060687065125,0.5,10
n01820546,0.33899104595184326,0.1,10
n01824575,0.5816260576248169,0.5,10
n01828970,0.41951918601989746,0.4,10
n01829413,0.5225361585617065,0.4,10
n01833805,0.39880603551864624,0.3,10
n01843065,0.34727832674980164,0.1,10
n01843383,0.3922688663005829,0.3,10
n01847000,0.6192405819892883,0.8,10
n01855032,0.30922919511795044,0.0,10
n01855672,0.4999628961086273,0.5,10
n01860187,0.4400424063205719,0.3,10
n01871265,0.47647222876548767,0.3,10
n01872401,0.729895830154419,0.8,10
n01873310,0.6414833068847656,0.4,10
n01877812,0.6429105997085571,0.6,10
n01882714,0.6636775135993958,0.8,10
n01883070,0.6708697080612183,0.9,10
n01910747,0.48335665464401245,0.2,10
n01914609,0.5236595869064331,0.2,10
n01917289,0.48825597763061523,0.6,10
n01924916,0.5579895973205566,0.5,10
n01930112,0.2790827751159668,0.2,10
n01943899,0.44079598784446716,0.3,10
n01944390,0.4887511134147644,0.3,10
n01945685,0.4815625548362732,0.5,10
n01950731,0.5119115114212036,0.6,10
n01955084,0.5361710786819458,0.6,10
n01968897,0.567663848400116,0.3,10
n01978287,0.6202226281166077,0.7,10
n01978455,0.6332342028617859,0.4,10
n01980166,0.5646806955337524,0.6,10
n01981276,0.49333953857421875,0.3,10
n01983481,0.4920627474784851,0.5,10
n01984695,0.5929732918739319,0.7,10
n01985128,0.5857292413711548,0.8,10
n01986214,0.55451500415802,0.5,10
n01990800,0.44075554609298706,0.4,10
n02002556,0.4151945114135742,0.3,10
n02002724,0.43676361441612244,0.3,10
n02006656,0.3799733519554138,0.2,10
n02007558,0.4275652766227722,0.2,10
n02009229,0.5247983932495117,0.5,10
n02009912,0.44540801644325256,0.1,10
n02011460,0.6836866140365601,0.8,10
n02012849,0.42736315727233887,0.4,10
n02013706,0.5790601968765259,0.3,10
n02017213,0.2963392436504364,0.0,10
n02018207,0.5128841400146484,0.4,10
n02018795,0.5853096842765808,0.6,10
n02025239,0.4215080738067627,0.3,10
n02027492,0.45604366064071655,0.5,10
n02028035,0.5318977236747742,0.5,10
n02033041,0.426091730594635,0.2,10
n02037110,0.32775071263313293,0.3,10
n02051845,0.5554407835006714,0.4,10
n02056570,0.5668067932128906,0.5,10
n02058221,0.5208815932273865,0.2,10
n02066245,0.6081047058105469,0.4,10
n02071294,0.48068752884864807,0.5,10
n02074367,0.3829822540283203,0.1,10
n02077923,0.5765371322631836,0.6,10
n02085620,0.3899606168270111,0.4,10
n02085782,0.3037189841270447,0.0,10
n02085936,0.32905369997024536,0.1,10
n02086079,0.37486571073532104,0.3,10
n02086240,0.33279964327812195,0.0,10
n02086646,0.34830909967422485,0.0,10
n02086910,0.29336318373680115,0.4,10
n02087046,0.40364131331443787,0.2,10
n02087394,0.4465058445930481,0.5,10
n02088094,0.5953177213668823,0.6,10
n02088238,0.41854891180992126,0.6,10
n02088364,0.4003754258155823,0.8,10
n02088466,0.4288865029811859,0.6,10
n02088632,0.5106965899467468,0.2,10
n02089078,0.30550795793533325,0.3,10
n02089867,0.39706990122795105,0.8,10
n02089973,0.2947092354297638,0.0,10
n02090379,0.4214431345462799,0.6,10
n02090622,0.4520939886569977,0.6,10
n02090721,0.48580461740493774,0.7,10
n02091032,0.5102788209915161,0.7,10
n02091134,0.5535985827445984,0.9,10
n02091244,0.5248017907142639,0.6,10
n02091467,0.4660903513431549,0.5,10
n02091635,0.3470952808856964,0.3,10
n02091831,0.5190966725349426,0.5,10
n02092002,0.47388410568237305,0.3,10
n02092339,0.4735642075538635,0.3,10
n02093256,0.4603022038936615,0.4,10
n02093428,0.4472621977329254,0.7,10
n02093647,0.4607226252555847,0.5,10
n02093754,0.5033173561096191,0.7,10
n02093859,0.4848310053348541,0.7,10
n02093991,0.3421551287174225,0.2,10
n02094114,0.30125540494918823,0.2,10
n02094258,0.36565500497817993,0.2,10
n02094433,0.3560391068458557,0.1,10
n02095314,0.39157530665397644,0.2,10
n02095570,0.43590086698532104,0.5,10
n02095889,0.38419052958488464,0.4,10
n02096051,0.4041007459163666,0.3,10
n02096177,0.5483651757240295,0.8,10
n02096294,0.3197624087333679,0.2,10
n02096437,0.3146935701370239,0.5,10
n02096585,0.3823792338371277,0.4,10
