wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n02769748,backpack,0.6392357726317813,1.3089944652775403,0.52
n03899768,patio,0.5863470421583467,1.5916540835683517,0.6866666666666666
n07614500,ice_cream,0.5805494067545718,1.6717111373934224,0.7266666666666667
n04525038,velvet,0.5805384559073664,0.8230395088428036,0.35333333333333333
n04004767,printer,0.5642030208443062,1.3737256932488702,0.6133333333333334
n03887697,paper_towel,0.5584215023752893,1.709466416888209,0.7799999999999999
n07860988,dough,0.5572839427770153,1.150650720806694,0.5066666666666667
n03782006,monitor,0.5537117729695035,0.9422115733888988,0.4066666666666667
n15075141,toilet_tissue,0.552746806039489,1.3091777957173552,0.5866666666666668
n01697457,African_crocodile,0.5475705043728838,1.7945538624760096,0.8333333333333334
n02971356,carton,0.5393681266983653,1.2534582831067551,0.5866666666666667
n03633091,ladle,0.5388677211754672,1.1587453239457621,0.5466666666666667
n02808440,bathtub,0.5388058793511433,1.0056363653002924,0.4666666666666666
n02808304,bath_towel,0.5378812023669025,1.642408543644801,0.7666666666666666
n03742115,medicine_chest,0.536580781423758,1.4317956029450654,0.68
n03216828,dock,0.5329873594740899,1.2151627663432734,0.5733333333333334
n04560804,water_jug,0.5326842744383727,0.6670578255728188,0.3133333333333333
n01985128,crayfish,0.5315238018418724,1.7114514944252337,0.8066666666666666
n03866082,overskirt,0.5309972016762775,0.8811495196642394,0.42
n01740131,night_snake,0.5281181565618295,0.8706824283545384,0.42
n04357314,sunscreen,0.521857945903103,1.1298500776602405,0.5466666666666667
n03041632,cleaver,0.5195138261445708,1.298716658000081,0.6333333333333333
n04392985,tape_player,0.5193003638020789,1.0766980515733662,0.5266666666666667
n07880968,burrito,0.5181825555555163,1.8199648140137834,0.9
n03958227,plastic_bag,0.5174620674048116,1.1687527634712593,0.5533333333333333
n03710637,maillot,0.5150546564727493,0.4956841383206992,0.24
n04239074,sliding_door,0.5082359776847519,1.0057992265945204,0.49333333333333335
n02791270,barbershop,0.5078130757614358,1.4335982153282607,0.7066666666666667
n04041544,radio,0.5072085169983406,1.3646457723394818,0.6866666666666666
n04263257,soup_bowl,0.5069557868490961,1.260054540965264,0.6133333333333334
n02988304,CD_player,0.5020687205426407,1.1425451252287273,0.5800000000000001
n02776631,bakery,0.5003913027935184,0.9620612823687705,0.48666666666666664
n01978455,rock_crab,0.4981788295222447,1.4962909125306199,0.7599999999999999
n03770439,miniskirt,0.497878915024657,1.4691483252322606,0.7466666666666667
n03832673,notebook,0.4967047116900571,0.7188020531828853,0.35333333333333333
n04026417,purse,0.49598841968420726,1.172236099207853,0.6
n07871810,meat_loaf,0.49352742833552327,1.4397402227284528,0.7533333333333333
n04597913,wooden_spoon,0.49197889767559805,1.5926855945868013,0.8133333333333334
n01756291,sidewinder,0.4915407005005241,0.8341936231668052,0.43333333333333335
n04254120,soap_dispenser,0.4910573448269783,1.345405397574579,0.7000000000000001
n03908714,pencil_sharpener,0.4892882935660907,1.36200059715452,0.7066666666666667
n04081281,restaurant,0.48833750267502013,1.0414324931023526,0.5466666666666667
n04141975,scale,0.48616115030513574,1.5066318742173432,0.7866666666666666
n03793489,mouse,0.48441997081773785,0.8568120922546073,0.4466666666666667
n03908618,pencil_box,0.4841815077501856,1.5180973074014805,0.7799999999999999
n04090263,rifle,0.48281069856483266,1.0593261883965746,0.56
n02097474,Tibetan_terrier,0.4817885709278939,1.511903863681705,0.7999999999999999
n02840245,binder,0.48131852006093906,1.2786369134001925,0.6733333333333333
n03476991,hair_spray,0.4779581403400921,1.167385445140645,0.62
