wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n02769748,backpack,0.6219199261907508,1.239761754371086,0.492
n04525038,velvet,0.5980433862433863,0.8991168613696979,0.364
n03899768,patio,0.595054590725179,1.6884415399415418,0.692
n07614500,ice_cream,0.5745051353874884,1.615400849291025,0.692
n07860988,dough,0.5642590002590003,1.158047233483262,0.496
n03782006,monitor,0.5582247068652022,0.9532830137448306,0.404
n15075141,toilet_tissue,0.5428603174603175,1.2386960527294872,0.556
n01985128,crayfish,0.5424219060870223,1.7720909099898456,0.8
n03216828,dock,0.5388275862068965,1.283741359743179,0.584
n03633091,ladle,0.5382250626566416,1.1363194520488906,0.524
n04041544,radio,0.5317921146953404,1.469457117533505,0.6799999999999999
n04004767,printer,0.530668253968254,1.3171558688327898,0.608
n03958227,plastic_bag,0.5306554115091976,1.1167006241276414,0.512
n01697457,African_crocodile,0.528274898732074,1.7261100193248358,0.808
n02791270,barbershop,0.5265227513227513,1.481731060412301,0.688
n02808304,bath_towel,0.5263204678362573,1.5701814039611264,0.732
n07880968,burrito,0.5176828139841285,1.8671968176322082,0.892
n03532672,hook,0.5170599406729384,0.9682667912933187,0.44800000000000006
n03041632,cleaver,0.5162242324725084,1.257363414907957,0.604
n01740131,night_snake,0.5147277548284414,0.8565290041665763,0.41200000000000003
n04560804,water_jug,0.5123444444444445,0.6584179981703174,0.312
n03887697,paper_towel,0.5098213350739667,1.5694842680861352,0.76
n02971356,carton,0.5093053445627417,1.180721716510908,0.568
n03742115,medicine_chest,0.5082899897593445,1.3928651401675396,0.6759999999999999
n04239074,sliding_door,0.5018355614112135,1.0205939726753104,0.488
n02776631,bakery,0.5013121516164996,0.9427705744285679,0.45999999999999996
n01978455,rock_crab,0.5004402885470921,1.5400587611381398,0.756
n04090263,rifle,0.4980153490794351,1.1238994272588687,0.556
n03832673,notebook,0.4974495126705653,0.7561250821047485,0.364
n04026417,purse,0.4966605999611561,1.125334109382155,0.5599999999999999
n03770439,miniskirt,0.4962203659194585,1.456983893505045,0.724
n03450230,gown,0.4952807715160656,1.4778203066771958,0.736
n04357314,sunscreen,0.49122238255571593,1.0473593712630882,0.524
n03710637,maillot,0.49068686868686867,0.47122940396393903,0.236
n02808440,bathtub,0.49064203429420816,0.9175161418807642,0.45600000000000007
n04263257,soup_bowl,0.49060769007868404,1.1894940190930743,0.588
n04392985,tape_player,0.4905373457959665,0.9664330146267242,0.492
n04154565,screwdriver,0.48815267399267404,0.9971711639444714,0.5
n04597913,wooden_spoon,0.48800545242870824,1.5656887739467418,0.788
n04356056,sunglasses,0.4879772465859423,0.8302921638892631,0.41200000000000003
n03141823,crutch,0.48548412200825997,1.276577286673712,0.64
n02124075,Egyptian_cat,0.4844569240795048,1.2977605382967563,0.656
n03481172,hammer,0.4825500974658869,1.3497189612711618,0.6759999999999999
n04254120,soap_dispenser,0.48154814814814817,1.386400017746417,0.712
n03908714,pencil_sharpener,0.4813165649165649,1.3394459885937968,0.688
n03908618,pencil_box,0.48076398202713994,1.513110963183828,0.768
n01755581,diamondback,0.4804694572365304,1.5289709243622063,0.784
n07836838,chocolate_sauce,0.4797290552584671,1.2962503568566397,0.668
n04296562,stage,0.4796881091617934,1.4586035036313034,0.748
n04141975,scale,0.4795279350935925,1.48798669524923,0.764
n02988304,CD_player,0.478553457398285,1.0814975773108977,0.5599999999999999
n09246464,cliff,0.47795536315536313,1.3706954861939837,0.704
n01737021,water_snake,0.4776756112104949,1.5770327843221599,0.812
n04033995,quilt,0.4770948023653906,1.379995468005164,0.708
n04067472,reel,0.47377920724262185,1.5267859093695038,0.8
n02840245,binder,0.47265854145854147,1.3416193906694263,0.692
n03866082,overskirt,0.47240456268877323,0.7492733148278921,0.388
n03950228,pitcher,0.4717292708143283,1.0897354342269137,0.568
n04355338,sundial,0.4708670504066987,1.571240169674316,0.8119999999999999
n07871810,meat_loaf,0.4703866343123309,1.392680996270954,0.74
n03476991,hair_spray,0.4701015873015873,1.1831083006296583,0.62
