wnid,mean_drift,spillover_rate,n_par,model
n01440764,0.19740596413612366,0.05,40,resnet152
n01443537,0.31314393877983093,0.175,40,resnet152
n01484850,0.2521839737892151,0.2,40,resnet152
n01491361,0.20169153809547424,0.3,40,resnet152
n01494475,0.23078596591949463,0.025,40,resnet152
n01496331,0.28421899676322937,0.25,40,resnet152
n01498041,0.2603170573711395,0.275,40,resnet152
n01514668,0.21665947139263153,0.15,40,resnet152
n01514859,0.2568613886833191,0.225,40,resnet152
n01518878,0.20847108960151672,0.125,40,resnet152
n01530575,0.21714799106121063,0.125,40,resnet152
n01531178,0.22761043906211853,0.025,40,resnet152
n01532829,0.2837703227996826,0.275,40,resnet152
n01534433,0.14483408629894257,0.025,40,resnet152
n01537544,0.12555885314941406,0.025,40,resnet152
n01558993,0.13053980469703674,0.0,40,resnet152
n01560419,0.16827639937400818,0.025,40,resnet152
n01580077,0.18747003376483917,0.05,40,resnet152
n01582220,0.329584538936615,0.4,40,resnet152
n01592084,0.21371588110923767,0.05,40,resnet152
n01601694,0.2547122538089752,0.2,40,resnet152
n01608432,0.2618858218193054,0.075,40,resnet152
n01614925,0.24081647396087646,0.175,40,resnet152
n01616318,0.2884805202484131,0.275,40,resnet152
n01622779,0.24770855903625488,0.125,40,resnet152
n01629819,0.164719358086586,0.0,40,resnet152
n01630670,0.2561970353126526,0.175,40,resnet152
n01631663,0.1644657850265503,0.025,40,resnet152
n01632458,0.2347903698682785,0.2,40,resnet152
n01632777,0.19187214970588684,0.125,40,resnet152
n01641577,0.1798880696296692,0.1,40,resnet152
n01644373,0.21189293265342712,0.225,40,resnet152
n01644900,0.32329005002975464,0.425,40,resnet152
n01664065,0.27449479699134827,0.075,40,resnet152
n01665541,0.34232407808303833,0.275,40,resnet152
n01667114,0.2678349018096924,0.2,40,resnet152
n01667778,0.29756221175193787,0.325,40,resnet152
n01669191,0.24755653738975525,0.275,40,resnet152
n01675722,0.2889384329319,0.2,40,resnet152
n01677366,0.21037912368774414,0.125,40,resnet152
n01682714,0.269166499376297,0.325,40,resnet152
n01685808,0.16846203804016113,0.025,40,resnet152
n01687978,0.2401614934206009,0.325,40,resnet152
n01688243,0.3335483968257904,0.25,40,resnet152
n01689811,0.35164394974708557,0.3,40,resnet152
n01692333,0.2942586839199066,0.175,40,resnet152
n01693334,0.26723507046699524,0.3,40,resnet152
n01694178,0.2397228181362152,0.075,40,resnet152
n01695060,0.2813093662261963,0.175,40,resnet152
n01697457,0.3828961253166199,0.35,40,resnet152
n01698640,0.358747661113739,0.225,40,resnet152
n01704323,0.31264734268188477,0.15,40,resnet152
n01728572,0.2884453237056732,0.3,40,resnet152
n01728920,0.2805865406990051,0.15,40,resnet152
n01729322,0.39116567373275757,0.6,40,resnet152
n01729977,0.2822224497795105,0.4,40,resnet152
n01734418,0.26389390230178833,0.1,40,resnet152
n01735189,0.24780042469501495,0.15,40,resnet152
n01737021,0.3958030045032501,0.15,40,resnet152
n01739381,0.20652928948402405,0.1,40,resnet152
n01740131,0.3386828899383545,0.425,40,resnet152
n01742172,0.2668960988521576,0.55,40,resnet152
n01744401,0.3762325346469879,0.275,40,resnet152
n01748264,0.22135797142982483,0.15,40,resnet152
n01749939,0.2778015732765198,0.15,40,resnet152
n01751748,0.24330052733421326,0.25,40,resnet152
n01753488,0.2770950198173523,0.075,40,resnet152
n01755581,0.36403053998947144,0.45,40,resnet152
n01756291,0.30766478180885315,0.575,40,resnet152
n01768244,0.372880756855011,0.375,40,resnet152
n01770081,0.37721937894821167,0.35,40,resnet152
n01770393,0.21912913024425507,0.125,40,resnet152
n01773157,0.16806593537330627,0.025,40,resnet152
n01773549,0.3155555725097656,0.275,40,resnet152
n01773797,0.24684754014015198,0.325,40,resnet152
n01774384,0.2621220350265503,0.125,40,resnet152
n01774750,0.25766903162002563,0.225,40,resnet152
n01775062,0.22806529700756073,0.05,40,resnet152
n01776313,0.10969237983226776,0.0,40,resnet152
n01784675,0.27630072832107544,0.275,40,resnet152
n01795545,0.23633714020252228,0.05,40,resnet152
n01796340,0.2746317386627197,0.25,40,resnet152
n01797886,0.2661055028438568,0.025,40,resnet152
n01798484,0.2795042097568512,0.15,40,resnet152
n01806143,0.21411912143230438,0.075,40,resnet152
n01806567,0.22435788810253143,0.125,40,resnet152
n01807496,0.2991864085197449,0.225,40,resnet152
n01817953,0.35706838965415955,0.3,40,resnet152
n01818515,0.1379358470439911,0.0,40,resnet152
n01819313,0.26886072754859924,0.175,40,resnet152
n01820546,0.14569561183452606,0.025,40,resnet152
n01824575,0.23527976870536804,0.1,40,resnet152
n01828970,0.21387608349323273,0.15,40,resnet152
n01829413,0.24733543395996094,0.1,40,resnet152
n01833805,0.21328148245811462,0.25,40,resnet152
n01843065,0.12246529757976532,0.075,40,resnet152
n01843383,0.16355851292610168,0.125,40,resnet152
n01847000,0.2908955514431,0.075,40,resnet152
n01855032,0.08995185792446136,0.0,40,resnet152
n01855672,0.22396421432495117,0.075,40,resnet152
n01860187,0.16510546207427979,0.0,40,resnet152
n01871265,0.2368074357509613,0.175,40,resnet152
n01872401,0.1915978193283081,0.05,40,resnet152
n01873310,0.3455567955970764,0.25,40,resnet152
n01877812,0.3337183892726898,0.225,40,resnet152
n01882714,0.2733294367790222,0.275,40,resnet152
n01883070,0.39819255471229553,0.3,40,resnet152
n01910747,0.24750463664531708,0.175,40,resnet152
n01914609,0.29127174615859985,0.1,40,resnet152
n01917289,0.2136571854352951,0.05,40,resnet152
n01924916,0.20585067570209503,0.225,40,resnet152
n01930112,0.16125726699829102,0.1,40,resnet152
n01943899,0.3665146231651306,0.2,40,resnet152
n01944390,0.26128703355789185,0.15,40,resnet152
n01945685,0.3031063973903656,0.275,40,resnet152
n01950731,0.3644985258579254,0.5,40,resnet152
n01955084,0.27363109588623047,0.225,40,resnet152
n01968897,0.19283057749271393,0.1,40,resnet152
n01978287,0.22852912545204163,0.15,40,resnet152
n01978455,0.3204268515110016,0.175,40,resnet152
n01980166,0.24133531749248505,0.1,40,resnet152
n01981276,0.26441463828086853,0.275,40,resnet152
n01983481,0.1862790584564209,0.15,40,resnet152
n01984695,0.3007892072200775,0.225,40,resnet152
n01985128,0.33098387718200684,0.35,40,resnet152
n01986214,0.3260035216808319,0.175,40,resnet152
n01990800,0.22869610786437988,0.025,40,resnet152
n02002556,0.21107888221740723,0.2,40,resnet152
n02002724,0.2508174777030945,0.05,40,resnet152
n02006656,0.13928106427192688,0.0,40,resnet152
n02007558,0.26190242171287537,0.1,40,resnet152
n02009229,0.25164884328842163,0.25,40,resnet152
n02009912,0.20844104886054993,0.0,40,resnet152
n02011460,0.2120020091533661,0.025,40,resnet152
n02012849,0.29715684056282043,0.35,40,resnet152
n02013706,0.16106610000133514,0.0,40,resnet152
n02017213,0.1421407014131546,0.0,40,resnet152
n02018207,0.22985145449638367,0.125,40,resnet152
n02018795,0.19059954583644867,0.05,40,resnet152
n02025239,0.206889346241951,0.025,40,resnet152
n02027492,0.256975382566452,0.05,40,resnet152
n02028035,0.22344689071178436,0.1,40,resnet152
n02033041,0.17015881836414337,0.05,40,resnet152
n02037110,0.22915104031562805,0.25,40,resnet152
n02051845,0.2788722515106201,0.3,40,resnet152
n02056570,0.2699992060661316,0.25,40,resnet152
n02058221,0.23584327101707458,0.025,40,resnet152
