wnid,compactness,dispersion,margin,n_imgs,model
n01797886,0.15184840559959412,0.01571766710918079,0.45109766721725464,47,resnet101
n01798484,0.13429991900920868,0.01162392273909685,0.6490743160247803,48,resnet101
n01806143,0.11753568798303604,0.00956309413956731,0.8677231669425964,48,resnet101
n01806567,0.12130257487297058,0.009239577152431998,0.500472903251648,47,resnet101
n01807496,0.11965015530586243,0.010309420674829487,0.45109766721725464,41,resnet101
n01817953,0.1279844492673874,0.01312421937628494,0.8285765647888184,49,resnet101
n01818515,0.10805892199277878,0.010618109386342259,0.8178619742393494,50,resnet101
n01819313,0.17172175645828247,0.021106392951704203,0.8197001218795776,49,resnet101
n01820546,0.055105071514844894,0.003982030477116441,0.8933711051940918,50,resnet101
n01824575,0.13894051313400269,0.01172220805222229,0.7897240519523621,48,resnet101
n01828970,0.08663514256477356,0.00645158473661023,0.7839961051940918,49,resnet101
n01829413,0.17516444623470306,0.0165520753343446,0.6891084909439087,50,resnet101
n01833805,0.16060443222522736,0.015376616752429111,0.7452055811882019,49,resnet101
n01843065,0.058738768100738525,0.004123328309787907,0.7452055811882019,47,resnet101
n01843383,0.11985930800437927,0.010595180492792174,0.6891084909439087,47,resnet101
n01847000,0.16618622839450836,0.014166694202732918,0.7250542640686035,48,resnet101
n01855032,0.12435329705476761,0.01038715219214038,0.7756596803665161,47,resnet101
n01855672,0.21836376190185547,0.0259109277428744,0.6212291717529297,43,resnet101
n01860187,0.07769697904586792,0.005307249875825804,0.664106011390686,49,resnet101
n01871265,0.1949172019958496,0.021828271988385717,0.1584290862083435,38,resnet101
n01872401,0.07852763682603836,0.00606908839700898,0.8124744892120361,50,resnet101
n01873310,0.26404809951782227,0.03223534530050665,0.6502745747566223,45,resnet101
n01877812,0.25525811314582825,0.03385700094225978,0.621542751789093,44,resnet101
n01882714,0.14566384255886078,0.023127058979907144,0.6501871347427368,47,resnet101
n01883070,0.25612011551856995,0.040212624609110896,0.6215429306030273,43,resnet101
n01910747,0.21390707790851593,0.023446550900889197,0.7309530973434448,47,resnet101
n01914609,0.21996544301509857,0.024776752651746996,0.5216498374938965,32,resnet101
n01917289,0.11711406707763672,0.01099959340270164,0.5148708820343018,48,resnet101
n01924916,0.11412382870912552,0.008011657134678666,0.5807744264602661,47,resnet101
n01930112,0.15269793570041656,0.01428148196508584,0.838141143321991,46,resnet101
n01943899,0.31432533264160156,0.0371273516573239,0.5691384673118591,44,resnet101
n01944390,0.23987546563148499,0.02701122427400563,0.5464891195297241,47,resnet101
n01945685,0.2115866243839264,0.019344014358101697,0.5464891195297241,40,resnet101
