wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.29612797498703003,0.0,10
n01443537,0.3773430585861206,0.2,10
n01484850,0.3413972854614258,0.5,10
n01491361,0.25902968645095825,0.1,10
n01494475,0.2648452818393707,0.2,10
n01496331,0.3580523431301117,0.2,10
n01498041,0.48591136932373047,0.4,10
n01514668,0.24488206207752228,0.1,10
n01514859,0.2654324471950531,0.3,10
n01518878,0.3395891785621643,0.1,10
n01530575,0.3147863447666168,0.1,10
n01531178,0.32606565952301025,0.1,10
n01532829,0.533504843711853,0.5,10
n01534433,0.391907662153244,0.4,10
n01537544,0.26551103591918945,0.1,10
n01558993,0.291313499212265,0.2,10
n01560419,0.30979785323143005,0.2,10
n01580077,0.2935875952243805,0.0,10
n01582220,0.5298494100570679,0.5,10
n01592084,0.3715590238571167,0.1,10
n01601694,0.4374472498893738,0.3,10
n01608432,0.44543641805648804,0.3,10
n01614925,0.3518487811088562,0.2,10
n01616318,0.5182653665542603,0.6,10
n01622779,0.5267289280891418,0.4,10
n01629819,0.23157867789268494,0.0,10
n01630670,0.4096289277076721,0.3,10
n01631663,0.26683706045150757,0.0,10
n01632458,0.5526100993156433,0.4,10
n01632777,0.2401140034198761,0.1,10
n01641577,0.36957216262817383,0.3,10
n01644373,0.3093034327030182,0.3,10
n01644900,0.550392210483551,0.6,10
n01664065,0.49827098846435547,0.3,10
n01665541,0.5068310499191284,0.5,10
n01667114,0.5383291244506836,0.9,10
n01667778,0.3951795697212219,0.1,10
n01669191,0.3668229877948761,0.4,10
n01675722,0.3906475007534027,0.4,10
n01677366,0.5700247883796692,0.7,10
n01682714,0.4145273268222809,0.3,10
n01685808,0.2989499568939209,0.0,10
n01687978,0.35032400488853455,0.3,10
n01688243,0.5455813407897949,0.5,10
n01689811,0.6630579829216003,0.6,10
n01692333,0.500705361366272,0.5,10
n01693334,0.5024832487106323,0.4,10
n01694178,0.34095054864883423,0.2,10
n01695060,0.563430666923523,0.5,10
n01697457,0.6565840244293213,0.6,10
n01698640,0.7602561712265015,0.9,10
n01704323,0.4255467355251312,0.1,10
n01728572,0.4408818185329437,0.4,10
n01728920,0.40018925070762634,0.3,10
n01729322,0.5564605593681335,0.7,10
n01729977,0.45229190587997437,0.9,10
n01734418,0.46713393926620483,0.6,10
n01735189,0.38332265615463257,0.3,10
n01737021,0.5987869501113892,0.7,10
n01739381,0.3392089903354645,0.2,10
n01740131,0.5380989909172058,0.5,10
n01742172,0.4873056411743164,0.7,10
n01744401,0.5958899259567261,0.5,10
n01748264,0.4350345730781555,0.3,10
n01749939,0.41201409697532654,0.2,10
n01751748,0.42333975434303284,0.5,10
n01753488,0.3799712061882019,0.5,10
