model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct,abs_delta_hf_energy,abs_delta_edge_strength,abs_delta_entropy,abs_delta_contrast,abs_delta_brightness
resnet101,CNN,velvet,shot_noise,1,cam,0.6936572199730094,4.822717325300431,0.023802120238542557,False,0.017559831030666828,0.017251811921596527,0.019496976555611667,0.0029133260250091553,0.0014042556285858154
resnet101,CNN,velvet,shot_noise,2,cam,0.5644721464744838,12.873295986696128,0.005023539066314697,False,0.04137924034148455,0.03012988343834877,0.021370798090680765,0.00643940269947052,0.0018554478883743286
resnet101,CNN,velvet,shot_noise,3,cam,0.5909991284367324,17.470388836384462,0.0010316497646272182,False,0.07820443157106638,0.04550684243440628,0.04764381113371208,0.012042969465255737,0.0028853267431259155
resnet101,CNN,velvet,shot_noise,4,cam,0.6005099195283244,10.040956081933333,0.00022119030472822487,False,0.1645073825493455,0.07057197391986847,0.5223166432238369,0.02303658425807953,0.006853744387626648
resnet101,CNN,velvet,shot_noise,5,cam,0.3518368994751716,22.76686709908016,0.00014909481978975236,False,0.24499730113893747,0.08972563594579697,1.259532973819423,0.03472889959812164,0.012534096837043762
resnet101,CNN,velvet,impulse_noise,1,cam,0.6661135081314304,2.1102849062315068,0.005152605008333921,False,0.07197634968906641,0.024212732911109924,0.07985913291249691,0.010359734296798706,0.009188130497932434
resnet101,CNN,velvet,impulse_noise,2,cam,0.5520173133405473,12.690143761790418,0.001190745853818953,False,0.12806639913469553,0.046094052493572235,0.15268421992241699,0.02106255292892456,0.018978267908096313
resnet101,CNN,velvet,impulse_noise,3,cam,0.4964972425100611,15.2449545697345,0.00023502555268350989,False,0.17555851582437754,0.06728637963533401,0.21706192482600173,0.031085193157196045,0.029221251606941223
resnet101,CNN,velvet,impulse_noise,4,cam,0.37656817714403235,21.844612028385814,0.00013321344158612192,False,0.25681541208177805,0.11056649684906006,0.34185425122444446,0.05165526270866394,0.05300286412239075
resnet101,CNN,velvet,impulse_noise,5,cam,0.337995337995338,16.109842338859554,7.680260750930756e-05,False,0.31002963427454233,0.15571683645248413,0.46096401339528903,0.0762433409690857,0.08507056534290314
resnet101,CNN,velvet,defocus_blur,1,cam,0.6517232869951468,16.715672712032354,0.006699375808238983,False,0.013362015248276293,0.007801385596394539,0.03542544975033479,0.004798680543899536,0.002097293734550476
resnet101,CNN,velvet,defocus_blur,2,cam,0.5594905250077664,24.05761070921578,0.005981863010674715,False,0.013900831807404757,0.009158818051218987,0.03205382929861589,0.006147176027297974,0.0020096004009246826
resnet101,CNN,velvet,defocus_blur,3,cam,0.46142649199417757,20.281853345484777,0.003497598459944129,False,0.01389935810584575,0.010598930064588785,0.0309922387004109,0.00845886766910553,0.0020032525062561035
