wnid,mean_drift,spillover_rate,n_par,model
n01978287,0.3940020203590393,0.3,40,vit_b_32
n01978455,0.4645041823387146,0.425,40,vit_b_32
n01980166,0.34769830107688904,0.2,40,vit_b_32
n01981276,0.3337811827659607,0.225,40,vit_b_32
n01983481,0.316620409488678,0.075,40,vit_b_32
n01984695,0.4070863127708435,0.425,40,vit_b_32
n01985128,0.48085474967956543,0.375,40,vit_b_32
n01986214,0.4504583775997162,0.3,40,vit_b_32
n01990800,0.3071596026420593,0.175,40,vit_b_32
n02002556,0.25206631422042847,0.05,40,vit_b_32
n02002724,0.34391194581985474,0.175,40,vit_b_32
n02006656,0.22998733818531036,0.075,40,vit_b_32
n02007558,0.3523407578468323,0.15,40,vit_b_32
n02009229,0.33446478843688965,0.25,40,vit_b_32
n02009912,0.23540648818016052,0.125,40,vit_b_32
n02011460,0.287960946559906,0.075,40,vit_b_32
n02012849,0.3212883174419403,0.4,40,vit_b_32
n02013706,0.2670336663722992,0.05,40,vit_b_32
n02017213,0.21858224272727966,0.025,40,vit_b_32
n02018207,0.3227246403694153,0.175,40,vit_b_32
n02018795,0.3215438723564148,0.275,40,vit_b_32
n02025239,0.27326688170433044,0.05,40,vit_b_32
n02027492,0.3380134701728821,0.175,40,vit_b_32
n02028035,0.3000341057777405,0.175,40,vit_b_32
n02033041,0.2755720615386963,0.075,40,vit_b_32
n02037110,0.24060067534446716,0.1,40,vit_b_32
n02051845,0.28126949071884155,0.05,40,vit_b_32
n02056570,0.3373793065547943,0.125,40,vit_b_32
n02058221,0.29441526532173157,0.075,40,vit_b_32
n02066245,0.35056373476982117,0.2,40,vit_b_32
n02071294,0.30489078164100647,0.15,40,vit_b_32
n02074367,0.4364422857761383,0.45,40,vit_b_32
n02077923,0.38688233494758606,0.25,40,vit_b_32
n02085620,0.3255833089351654,0.325,40,vit_b_32
n02085782,0.2978824973106384,0.175,40,vit_b_32
n02085936,0.336582750082016,0.175,40,vit_b_32
n02086079,0.31943100690841675,0.15,40,vit_b_32
n02086240,0.3129492402076721,0.125,40,vit_b_32
n02086646,0.28910383582115173,0.125,40,vit_b_32
n02086910,0.27169281244277954,0.2,40,vit_b_32
n02087046,0.3064269423484802,0.225,40,vit_b_32
n02087394,0.34312692284584045,0.45,40,vit_b_32
n02088094,0.3501627743244171,0.225,40,vit_b_32
n02088238,0.2820054292678833,0.175,40,vit_b_32
n02088364,0.3285978436470032,0.275,40,vit_b_32
n02088466,0.3119770288467407,0.3,40,vit_b_32
n02088632,0.3519607186317444,0.275,40,vit_b_32
n02089078,0.3279814124107361,0.175,40,vit_b_32
n02089867,0.28882306814193726,0.375,40,vit_b_32
n02089973,0.22966782748699188,0.125,40,vit_b_32
n02090379,0.3311588764190674,0.4,40,vit_b_32
n02090622,0.36996322870254517,0.35,40,vit_b_32
n02090721,0.33893752098083496,0.5,40,vit_b_32
n02091032,0.3698582053184509,0.375,40,vit_b_32
n02091134,0.35826319456100464,0.3,40,vit_b_32
n02091244,0.3872250020503998,0.325,40,vit_b_32
n02091467,0.39593276381492615,0.275,40,vit_b_32
n02091635,0.3207668364048004,0.25,40,vit_b_32
n02091831,0.32667770981788635,0.275,40,vit_b_32
n02092002,0.3489808440208435,0.35,40,vit_b_32
n02092339,0.29671671986579895,0.075,40,vit_b_32
n02093256,0.32458049058914185,0.45,40,vit_b_32
n02093428,0.3301067352294922,0.175,40,vit_b_32
n02093647,0.3634791970252991,0.175,40,vit_b_32
n02093754,0.39608484506607056,0.275,40,vit_b_32
n02093859,0.36022812128067017,0.35,40,vit_b_32
n02093991,0.32524052262306213,0.325,40,vit_b_32
n02094114,0.3750512897968292,0.35,40,vit_b_32
n02094258,0.33927100896835327,0.275,40,vit_b_32
n02094433,0.3130502998828888,0.05,40,vit_b_32
n02095314,0.3270045816898346,0.275,40,vit_b_32
n02095570,0.4267427325248718,0.3,40,vit_b_32
n02095889,0.302532821893692,0.1,40,vit_b_32
n02096051,0.3366541266441345,0.175,40,vit_b_32
n02096177,0.411123663187027,0.325,40,vit_b_32
n02096294,0.31499797105789185,0.125,40,vit_b_32
n02096437,0.29034334421157837,0.225,40,vit_b_32
n02096585,0.3186394274234772,0.225,40,vit_b_32
n02097047,0.2836361825466156,0.2,40,vit_b_32
n02097130,0.3670654296875,0.375,40,vit_b_32
n02097209,0.2846112847328186,0.225,40,vit_b_32
n02097298,0.34399768710136414,0.45,40,vit_b_32
n02097474,0.32889771461486816,0.35,40,vit_b_32
n02097658,0.32563647627830505,0.475,40,vit_b_32
n02098105,0.38768184185028076,0.4,40,vit_b_32
n02098286,0.40703797340393066,0.2,40,vit_b_32
n02098413,0.308862566947937,0.325,40,vit_b_32
n02099267,0.3556912839412689,0.375,40,vit_b_32
n02099429,0.3973342180252075,0.325,40,vit_b_32
n02099601,0.309052050113678,0.15,40,vit_b_32
n02099712,0.3295542597770691,0.4,40,vit_b_32
n02099849,0.3902612328529358,0.15,40,vit_b_32
n02100236,0.34243834018707275,0.225,40,vit_b_32
n02100583,0.3278396725654602,0.3,40,vit_b_32
n02100735,0.29091009497642517,0.2,40,vit_b_32
n02100877,0.3627023696899414,0.275,40,vit_b_32
n02101006,0.3217189908027649,0.4,40,vit_b_32
n02101388,0.3244902193546295,0.15,40,vit_b_32
n02101556,0.24243655800819397,0.1,40,vit_b_32
n02102040,0.308759868144989,0.275,40,vit_b_32
n02102177,0.28963780403137207,0.075,40,vit_b_32
n02102318,0.33151277899742126,0.275,40,vit_b_32
n02102480,0.35310983657836914,0.2,40,vit_b_32
n02102973,0.37487906217575073,0.225,40,vit_b_32
n02104029,0.3325711190700531,0.3,40,vit_b_32
n02104365,0.40681734681129456,0.3,40,vit_b_32
n02105056,0.35151809453964233,0.3,40,vit_b_32
n02105162,0.33137577772140503,0.15,40,vit_b_32
n02105251,0.3266170620918274,0.35,40,vit_b_32
n02105412,0.3262316882610321,0.275,40,vit_b_32
n02105505,0.29581841826438904,0.075,40,vit_b_32
n02105641,0.2951302230358124,0.275,40,vit_b_32
n02105855,0.2339230477809906,0.3,40,vit_b_32
n02106030,0.22082677483558655,0.1,40,vit_b_32
n02106166,0.3295227885246277,0.175,40,vit_b_32
n02106382,0.357036828994751,0.375,40,vit_b_32
n02106550,0.28243786096572876,0.075,40,vit_b_32
n02106662,0.23263640701770782,0.05,40,vit_b_32
n02107142,0.3134084641933441,0.2,40,vit_b_32
n02107312,0.29133376479148865,0.25,40,vit_b_32
n02107574,0.3056650161743164,0.325,40,vit_b_32
n02107683,0.34553152322769165,0.35,40,vit_b_32
n02107908,0.3123142123222351,0.4,40,vit_b_32
n02108000,0.22268834710121155,0.1,40,vit_b_32
n02108089,0.29986944794654846,0.2,40,vit_b_32
n02108422,0.3270029127597809,0.275,40,vit_b_32
n02108551,0.3213753402233124,0.225,40,vit_b_32
n02108915,0.32808342576026917,0.2,40,vit_b_32
n02109047,0.4004291892051697,0.55,40,vit_b_32
n02109525,0.3011013865470886,0.2,40,vit_b_32
n02109961,0.26049551367759705,0.3,40,vit_b_32
n02110063,0.30775436758995056,0.225,40,vit_b_32
n02110185,0.28821223974227905,0.3,40,vit_b_32
n02110341,0.30496159195899963,0.15,40,vit_b_32
n02110627,0.3920375406742096,0.275,40,vit_b_32
n02110806,0.33243870735168457,0.075,40,vit_b_32
n02110958,0.3924156129360199,0.375,40,vit_b_32
n02111129,0.2792814373970032,0.125,40,vit_b_32
n02111277,0.3618459105491638,0.3,40,vit_b_32
n02111500,0.3392585217952728,0.35,40,vit_b_32
n02111889,0.29439830780029297,0.15,40,vit_b_32
n02112018,0.2519986927509308,0.15,40,vit_b_32
n02112137,0.31384187936782837,0.075,40,vit_b_32
n02112350,0.2738283574581146,0.125,40,vit_b_32
n02112706,0.34746912121772766,0.25,40,vit_b_32
n02113023,0.35184723138809204,0.175,40,vit_b_32
n02113186,0.27666741609573364,0.15,40,vit_b_32
n02113624,0.4334533214569092,0.425,40,vit_b_32
n02113712,0.2945144772529602,0.575,40,vit_b_32
n02113799,0.3441687822341919,0.175,40,vit_b_32
n02113978,0.3278442621231079,0.275,40,vit_b_32
n02114367,0.3037664294242859,0.275,40,vit_b_32
n02114548,0.339952290058136,0.25,40,vit_b_32
n02114712,0.24582943320274353,0.35,40,vit_b_32
n02114855,0.31947749853134155,0.075,40,vit_b_32
n02115641,0.30726051330566406,0.25,40,vit_b_32
n02115913,0.2867282032966614,0.2,40,vit_b_32
n02116738,0.24854104220867157,0.05,40,vit_b_32
n02117135,0.31170812249183655,0.125,40,vit_b_32
n02119022,0.2582097053527832,0.1,40,vit_b_32
n02119789,0.29716742038726807,0.3,40,vit_b_32
n02120079,0.36677175760269165,0.225,40,vit_b_32
n02120505,0.28142470121383667,0.125,40,vit_b_32
n02123045,0.2777935862541199,0.2,40,vit_b_32
n02123159,0.33728259801864624,0.325,40,vit_b_32
n02123394,0.262262225151062,0.1,40,vit_b_32
n02123597,0.23518577218055725,0.0,40,vit_b_32
n02124075,0.352875679731369,0.45,40,vit_b_32
n02125311,0.2934214472770691,0.075,40,vit_b_32
n02127052,0.3187672197818756,0.2,40,vit_b_32
n02128385,0.2494668960571289,0.275,40,vit_b_32
n02128757,0.23299625515937805,0.05,40,vit_b_32
n02128925,0.25183361768722534,0.125,40,vit_b_32
n02129165,0.33049675822257996,0.1,40,vit_b_32
n02129604,0.18919193744659424,0.025,40,vit_b_32
n02130308,0.2537180781364441,0.125,40,vit_b_32
n02132136,0.2582544684410095,0.05,40,vit_b_32
n02133161,0.37532612681388855,0.225,40,vit_b_32
n02134084,0.30930137634277344,0.15,40,vit_b_32
n02134418,0.25427231192588806,0.125,40,vit_b_32
n02137549,0.40731650590896606,0.425,40,vit_b_32
n02138441,0.304638147354126,0.1,40,vit_b_32
n02165105,0.25860023498535156,0.15,40,vit_b_32
n02165456,0.26533985137939453,0.15,40,vit_b_32
n02167151,0.320213258266449,0.275,40,vit_b_32
n02168699,0.394424706697464,0.525,40,vit_b_32
n02169497,0.3107210099697113,0.275,40,vit_b_32
n02172182,0.3637097179889679,0.1,40,vit_b_32
n02174001,0.31435146927833557,0.175,40,vit_b_32
n02177972,0.3754221498966217,0.25,40,vit_b_32
n02190166,0.22741922736167908,0.125,40,vit_b_32
n02206856,0.29943281412124634,0.25,40,vit_b_32
n02219486,0.31121936440467834,0.175,40,vit_b_32
n02226429,0.3248479962348938,0.35,40,vit_b_32
n02229544,0.4428655505180359,0.475,40,vit_b_32
n02231487,0.39738982915878296,0.15,40,vit_b_32
n02233338,0.4296049177646637,0.325,40,vit_b_32
n02236044,0.4240606427192688,0.425,40,vit_b_32
n02256656,0.3091481029987335,0.075,40,vit_b_32
n02259212,0.30301347374916077,0.2,40,vit_b_32
n02264363,0.3298150599002838,0.225,40,vit_b_32
