model,method,feature_delta,target,spearman_rho,n,key
resnet50,cam,abs_delta_entropy,xai_corr,0.18140644753476612,225,resnet50 / cam
resnet50,ig,abs_delta_edge_strength,xai_iou,-0.17241915152647666,225,resnet50 / ig
vit_b_16,rollout,abs_delta_colorfulness,prob_drop,-0.17187737041719345,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_colorfulness,prob_drop,-0.17187737041719345,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_colorfulness,prob_drop,-0.17187737041719345,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_colorfulness,entropy_delta,0.16066687737041718,225,vit_b_16 / rollout
resnet50,cam,abs_delta_colorfulness,xai_corr,0.16029077117572696,225,resnet50 / cam
vit_b_16,ig,abs_delta_colorfulness,entropy_delta,-0.15828803202697012,225,vit_b_16 / ig
resnet50,ig,abs_delta_colorfulness,prob_drop,-0.15772123893805312,225,resnet50 / ig
resnet50,cam,abs_delta_colorfulness,prob_drop,-0.15772123893805312,225,resnet50 / cam
resnet50,ig,abs_delta_brightness,entropy_delta,-0.1491919511167299,225,resnet50 / ig
resnet50,cam,abs_delta_colorfulness,xai_iou,0.14872110657456056,225,resnet50 / cam
resnet50,ig,abs_delta_entropy,centroid_shift,0.14695849136114625,225,resnet50 / ig
resnet50,ig,abs_delta_edge_strength,centroid_shift,0.13918352296670883,225,resnet50 / ig
vit_b_16,rollout,abs_delta_contrast,entropy_delta,0.13469764011799415,225,vit_b_16 / rollout
resnet50,cam,abs_delta_entropy,centroid_shift,-0.13262536873156344,225,resnet50 / cam
resnet50,cam,abs_delta_contrast,xai_iou,0.13156770520845967,225,resnet50 / cam
resnet50,cam,abs_delta_edge_strength,prob_drop,-0.11988938053097348,225,resnet50 / cam
resnet50,ig,abs_delta_edge_strength,prob_drop,-0.11988938053097348,225,resnet50 / ig
vit_b_16,cam,abs_delta_contrast,entropy_delta,0.1164707121786768,225,vit_b_16 / cam
resnet50,cam,abs_delta_contrast,xai_corr,0.11187737041719345,225,resnet50 / cam
vit_b_16,rollout,abs_delta_brightness,entropy_delta,-0.11120417193426045,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_saturation,entropy_delta,-0.11030868099452171,225,vit_b_16 / ig
vit_b_16,cam,abs_delta_edge_strength,centroid_shift,0.10939106616097767,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_entropy,entropy_delta,0.10663822166034558,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_brightness,prob_drop,-0.10427201854193006,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_brightness,prob_drop,-0.10427201854193006,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_brightness,prob_drop,-0.10427201854193006,225,vit_b_16 / cam
resnet50,ig,abs_delta_contrast,xai_iou,-0.10019453254521445,225,resnet50 / ig
resnet50,cam,abs_delta_brightness,entropy_delta,0.09994416350611042,225,resnet50 / cam
resnet50,ig,abs_delta_entropy,entropy_delta,-0.0965423514538559,225,resnet50 / ig
vit_b_16,rollout,abs_delta_contrast,prob_drop,0.09639801938474506,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_contrast,prob_drop,0.09639801938474506,225,vit_b_16 / ig
vit_b_16,cam,abs_delta_contrast,prob_drop,0.09639801938474506,225,vit_b_16 / cam
resnet50,ig,abs_delta_contrast,xai_corr,-0.09563632532659083,225,resnet50 / ig
vit_b_16,cam,abs_delta_brightness,xai_corr,0.09361778339654447,225,vit_b_16 / cam
resnet50,cam,abs_delta_colorfulness,entropy_delta,0.09313316477033291,225,resnet50 / cam
vit_b_16,rollout,abs_delta_entropy,prob_drop,0.08873050990307628,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_entropy,prob_drop,0.08873050990307628,225,vit_b_16 / ig
vit_b_16,cam,abs_delta_entropy,prob_drop,0.08873050990307628,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_edge_strength,centroid_shift,0.08525284450063213,225,vit_b_16 / ig
vit_b_16,cam,abs_delta_edge_strength,xai_iou,-0.08390413356029658,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_contrast,centroid_shift,0.08327117572692795,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_brightness,xai_iou,0.07907641879851951,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_saturation,entropy_delta,0.07866203118415509,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_edge_strength,entropy_delta,0.07593341761483355,225,vit_b_16 / ig
vit_b_16,cam,abs_delta_entropy,xai_corr,0.07023177412557943,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_edge_strength,xai_corr,-0.06770965023177412,225,vit_b_16 / cam
resnet50,ig,abs_delta_saturation,prob_drop,0.06677096502317742,225,resnet50 / ig
resnet50,cam,abs_delta_saturation,prob_drop,0.06677096502317742,225,resnet50 / cam
resnet50,ig,abs_delta_contrast,centroid_shift,0.06604825115887064,225,resnet50 / ig
vit_b_16,ig,abs_delta_entropy,entropy_delta,-0.06380004214075012,225,vit_b_16 / ig
vit_b_16,cam,abs_delta_saturation,centroid_shift,0.05479140328697852,225,vit_b_16 / cam
resnet50,cam,abs_delta_entropy,entropy_delta,-0.05414032869785083,225,resnet50 / cam
vit_b_16,ig,abs_delta_contrast,entropy_delta,-0.05298883270122209,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_entropy,entropy_delta,0.05212494732406238,225,vit_b_16 / rollout
resnet50,cam,abs_delta_brightness,xai_corr,0.05178992836072483,225,resnet50 / cam
vit_b_16,ig,abs_delta_edge_strength,prob_drop,-0.051057732827644337,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_edge_strength,prob_drop,-0.051057732827644337,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_edge_strength,prob_drop,-0.051057732827644337,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_contrast,xai_iou,-0.04522920154149864,225,vit_b_16 / cam
resnet50,cam,abs_delta_edge_strength,xai_corr,-0.044209860935524654,225,resnet50 / cam
vit_b_16,cam,abs_delta_entropy,centroid_shift,-0.042318794774546996,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_brightness,centroid_shift,-0.04099557522123895,225,vit_b_16 / cam
vit_b_16,rollout,abs_delta_saturation,entropy_delta,0.040784871470712185,225,vit_b_16 / rollout
resnet50,cam,abs_delta_edge_strength,centroid_shift,0.0394574378423936,225,resnet50 / cam
resnet50,cam,abs_delta_saturation,xai_iou,0.038647302279452414,225,resnet50 / cam
vit_b_16,cam,abs_delta_contrast,xai_corr,-0.03697429414243574,225,vit_b_16 / cam
resnet50,cam,abs_delta_edge_strength,xai_iou,-0.03587285918292701,225,resnet50 / cam
resnet50,ig,abs_delta_colorfulness,entropy_delta,-0.03276654024441636,225,resnet50 / ig
vit_b_16,cam,abs_delta_colorfulness,entropy_delta,0.03219764011799411,225,vit_b_16 / cam
resnet50,cam,abs_delta_contrast,entropy_delta,0.02916877370417194,225,resnet50 / cam
resnet50,ig,abs_delta_entropy,prob_drop,-0.02772650653181627,225,resnet50 / ig
resnet50,cam,abs_delta_entropy,prob_drop,-0.02772650653181627,225,resnet50 / cam
resnet50,cam,abs_delta_colorfulness,centroid_shift,-0.02674462705436157,225,resnet50 / cam
resnet50,cam,abs_delta_saturation,centroid_shift,0.019719764011799416,225,resnet50 / cam
vit_b_16,cam,abs_delta_colorfulness,xai_corr,-0.019443742098609357,225,vit_b_16 / cam
resnet50,ig,abs_delta_saturation,entropy_delta,-0.019428992836072485,225,resnet50 / ig
vit_b_16,cam,abs_delta_entropy,xai_iou,0.01838462063706743,225,vit_b_16 / cam
resnet50,cam,abs_delta_brightness,prob_drop,-0.018161609776654028,225,resnet50 / cam
resnet50,ig,abs_delta_brightness,prob_drop,-0.018161609776654028,225,resnet50 / ig
vit_b_16,cam,abs_delta_brightness,entropy_delta,0.01678360724820902,225,vit_b_16 / cam
resnet50,cam,abs_delta_brightness,xai_iou,0.013065746452670614,225,resnet50 / cam
resnet50,ig,abs_delta_edge_strength,entropy_delta,0.012979351032448381,225,resnet50 / ig
vit_b_16,cam,abs_delta_colorfulness,xai_iou,-0.01279399733277665,225,vit_b_16 / cam
resnet50,cam,abs_delta_contrast,prob_drop,-0.010606826801517068,225,resnet50 / cam
resnet50,ig,abs_delta_contrast,prob_drop,-0.010606826801517068,225,resnet50 / ig
vit_b_16,cam,abs_delta_edge_strength,entropy_delta,0.00818794774546987,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_colorfulness,centroid_shift,0.007083860092709652,225,vit_b_16 / cam
resnet50,cam,abs_delta_brightness,centroid_shift,0.004390012642225032,225,resnet50 / cam
resnet50,cam,abs_delta_saturation,entropy_delta,0.0033017277707543197,225,resnet50 / cam
resnet50,cam,abs_delta_saturation,xai_corr,-0.002861356932153393,225,resnet50 / cam
resnet50,cam,abs_delta_edge_strength,entropy_delta,0.0027781289506953223,225,resnet50 / cam
resnet50,ig,abs_delta_contrast,entropy_delta,0.0010335018963337549,225,resnet50 / ig
